s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	
400k	12762.3	11018	12009.7	11025.2	10117.1	9017.92	8019.55	8033.97	6818.72	7486.67	7160.96	6771.32	6370.48	5999.47	5676.12	5364.78	5211.81	5161.43	5066.8	5001.25	
399k	12790.7	12470.5	12046.7	11105.3	10067.9	9400.67	8675.85	8190.31	6762.71	6542.29	6233.47	6719	6315.71	5944.15	5708.93	5396.31	5280.72	5191.84	5088.16	5015.98	
398k	12705.1	12597	11946.6	11139	10291.4	9258.93	8611.58	8086.43	7718.36	7491.48	7157.82	6798.79	6395.24	6044.56	5689.91	5396.59	5291.05	5184.73	5085.4	5001.2	
397k	12842.9	12606.9	12057	11092	10344.6	9506.02	8684.27	8265.4	6803.15	7510.1	7164.74	6737.24	6287.85	6017.81	5678.91	5347.97	5192.86	5159.46	5087.45	5016.51	
396k	12797.4	12594.9	12062.1	11121.1	10178.7	9269.26	8553.31	8117.48	7856.62	7424.21	7181.15	6791.24	6410.98	6052.6	5711.84	5413.86	5291.28	5198.71	5081.04	5014.39	
395k	12784.8	11955.5	12064.2	11132	10262.6	9221.57	8560.14	8113.75	7880.3	6352.54	7173.51	6789.54	6404.41	6075.1	5706.61	5410.91	5289.81	5177.84	5009.91	4153.73	
394k	12728.4	12604	12062.6	11158.1	10295.3	9401.53	8584.4	8120.68	7774.35	6527.75	7191.82	6802.51	6425.44	6065.75	5735.6	5424.99	5298.1	5207.18	5111.31	5039.45	
393k	12933.1	12331	12046.3	10242.1	9757.65	9230.84	8583.26	8140.83	7856.41	7546.23	6099.08	6817.23	6447.74	6062.45	5731.62	5441.38	5333.07	5227.82	5116.93	5019.11	
392k	13076.7	12507.3	12072.1	11155.3	10300.2	9302.43	8598.87	8196.6	7937.19	7564.05	7140.12	6793.97	6375.7	6083.99	5745.55	5449.01	5336.99	5252.62	5147.54	5074.61	
391k	13108.4	12552.1	12042.4	11142.4	10175.6	9469.65	7802.56	8238.06	7926.56	7579.34	7237.31	6801.77	6459.42	6099.03	5745.92	5450.45	5353.26	5255.19	5152.33	5060.85	
